Symbol	Adj Multiple	Date	Open	Adj Open	Forward Lag  1	Prediction	Choice	Sim	Trade Amount	
AIRI	0.0026711406	2006-03-15	784	293507.578823529	-0.1176470588	0.2213577219	1	4762178.01074328	975389.954007661	
AIRI	0.0026711405	2006-03-16	680	254572.903333333	0.0333333124	0.101559808	1	4793905.84423239	952435.602148657	
ASM	1	2006-03-17	2.32	2.32	-0.0530612245	0.0377592949	1	4743011.74139564	958781.168846478	
DSNY	1	2006-03-20	0.33	0.33	0	2.2314203934	1	4742991.74139564	948602.348279127	
AIRI	0.0026711406	2006-03-21	660	247085.46	0.066666637	0.0909646988	1	4806211.60312714	948598.348279127	
INTT	1.0355029586	2006-03-22	3.44	3.3220571429	-0.0057142857	0.0433971231	1	4800698.78986642	961242.320625428	
SKBI	0.2	2006-03-23	1.97	9.85	0.2745098039	0.2222854171	1	5064246.56656497	960139.757973285	
SKBI	0.2	2006-03-27	2.6	13	-0.053030303	0.1386084138	1	5010514.86055595	1012849.31331299	
IDN	1	2006-03-28	6	6	-0.0033613445	0.0521370639	1	5007126.44720431	1002102.97211119	
ACPW	0.2	2006-03-29	4.04	20.2	0.1379310345	0.0701954531	1	5145234.07333409	1001425.28944086	
SORL	1	2006-03-30	5.35	5.35	0.0462962963	0.034654791	1	5192855.12956866	1029046.81466682	
ADAT	0.5	2006-03-31	3.64	7.28	0.0310077519	0.0334005484	1	5225038.88231018	1038571.02591373	
DPDW	0.05	2006-04-03	20.2	404	0	0.0364186812	1	5225018.88231017	1045007.77646204	
DYSL	1	2006-04-04	0.7	0.7	0.2285714286	0.0572963479	1	5463856.88835864	1045003.77646203	
CPAH	0.2	2006-04-05	3.6	18	0.0909090909	0.0332210538	1	5563179.74087425	1092771.37767173	
BSDM	1	2006-04-06	6.5	6.5	0.0162601626	0.1292133599	1	5581251.38230799	1112635.94817485	
JOEZ	1	2006-04-07	0.79	0.79	0.1504424779	0.1713813568	1	5749162.83982876	1116250.2764616	
CVM	0.1	2006-04-10	1.5	15	-0.1470588235	0.0606144405	1	5580049.81512792	1149832.56796575	
PPRO	0.125	2006-04-11	2.01	16.08	-0.1111111111	0.1049914575	1	5456028.70812507	1116009.96302558	
CVM	0.1	2006-04-12	1.16	11.6	0.125	0.0999305538	1	5592409.4258282	1091205.74162501	
CVM	0.1	2006-04-13	1.2	12	-0.0074074074	0.0685555718	1	5584104.37482697	1118481.88516564	
SKBI	0.2	2006-04-17	1.15	5.75	0.8428571429	0.0778455741	1	6525404.82658352	1116820.87496539	
SKBI	0.2	2006-04-18	1.4	7	0	0.3256005148	1	6525384.82658352	1305080.9653167	
FRD	1.5235988201	2006-04-19	10.2	6.6946757018	0.0303315629	0.0470418974	1	6564949.85063536	1305076.9653167	
AXGN	1.1842105263	2006-04-20	0.45	0.38	-0.0612244898	0.0800016654	1	6484542.70960717	1312989.97012707	
SKBI	0.2	2006-04-21	1.1	5.5	0	1.3068770625	1	6484522.70960717	1296908.54192143	
NSFDF	1	2006-04-24	1.25	1.25	-0.0076923077	0.0352224229	1	6474526.52082316	1296904.54192143	
CEMI	0.125	2006-04-25	0.86	6.88	-0.0111111111	0.0570074573	1	6460118.68411022	1294905.30416463	
PPRO	0.125	2006-04-26	2.5	20	0	0.0843370353	1	6460098.68411022	1292023.73682204	
DPDW	0.05	2006-04-27	24.4	488	0	0.0576356074	1	6460078.68411022	1292019.73682204	
IEC	1	2006-04-28	0.7	0.7	0	0.108180291	1	6460058.68411022	1292015.73682204	
SKBI	0.2	2006-05-01	1.9	9.5	0	0.0669531955	1	6460038.68411022	1292011.73682204	
ALYE	0.2	2006-05-02	0.35	1.75	0	0.0802315036	1	6460018.68411022	1292007.73682204	
PED	0.0029723797	2006-05-03	0.51	171.5796923077	-0.0303224301	0.0669396714	1	6420821.99116014	1292003.73682204	
ADMP	0.0588235294	2006-05-04	0.7	11.9	0.0769230769	0.2550240312	1	6519583.86794721	1284164.39823203	
AIRI	0.0026711405	2006-05-05	620	232110.588333333	-7.53141116138778E-009	0.0634188358	1	6519563.85812688	1303916.77358944	
PED	0.0029723992	2006-05-08	0.65	218.6785714286	0.1311164264	0.0986029136	1	6690508.24108088	1303912.77162538	
PDO	1.25	2006-05-09	10.01	8.008	-0.0888888889	0.103389846	1	6571545.87235055	1338101.64821618	
PDO	1.25	2006-05-10	7.65	6.12	-0.0817790531	0.0950076747	1	6464042.91260192	1314309.17447011	
OPXA	0.025	2006-05-11	0.88	35.2	0	0.0556799262	1	6464022.91260192	1292808.58252038	
DDXS	1	2006-05-12	3.51	3.51	0.1014925373	0.4539998854	1	6595212.92993235	1292804.58252038	
ECTE	0.01	2006-05-15	0.3	30	0	0.1229812983	1	6595192.92993235	1319042.58598647	
AXGN	1.1904761905	2006-05-16	0.5	0.42	0	0.1147378582	1	6595172.92993235	1319038.58598647	
ALYE	0.2	2006-05-17	0.35	1.75	0	0.0821173888	1	6595152.92993235	1319034.58598647	
SVBL	1	2006-05-18	3.8	3.8	0.1632047478	0.0650353856	1	6810404.98402509	1319030.58598647	
DDXS	1	2006-05-19	3.38	3.38	-0.0113960114	0.2756345767	1	6794862.69346321	1362080.99680502	
ALTI	0.0416607624	2006-05-22	3.05	73.2103741497	0.10921688	0.0734622605	1	6943265.4341803	1358972.53869264	
DSNY	1	2006-05-24	0.25	0.25	0.1739130435	0.0521205455	1	7184750.31884744	1388653.08683606	
AOLS	1	2006-05-26	0.6	0.6	0.0714285714	0.1264987653	1	7287369.60911669	1436950.06376949	
DPDW	0.05	2006-05-30	30	600	0	0.2800082237	1	7287349.60911669	1457473.92182334	
VASO	1	2006-05-31	0.13	0.13	0.0909090909	0.0869296496	1	7419826.874737	1457469.92182334	
EMAN	0.102739726	2006-06-01	0.32	3.1146666667	-0.0346100666	0.0559354477	1	7368446.73432429	1483965.3749474	
IFON	0.833250497	2006-06-02	31	37.2036981807	-0.1688048128	0.0336877717	1	7119660.87995387	1473689.34686486	
VASO	1	2006-06-05	0.11	0.11	0	0.0419548882	1	7119640.87995387	1423932.17599077	
AOLS	1	2006-06-06	0.8	0.8	-0.0375	0.1582151588	1	7066223.57335421	1423928.17599077	
AOLS	1	2006-06-07	0.8	0.8	0.1558441558	0.1282553648	1	7286449.5029133	1413244.71467084	
SCON	0.0833333333	2006-06-08	2.51	30.12	-0.0042194093	0.0580723535	1	7280280.6003792	1457289.90058266	
ALYE	0.2	2006-06-09	0.4	2	0	0.0417056022	1	7280260.6003792	1456056.12007584	
AOLS	1	2006-06-12	0.75	0.75	-0.0769230769	0.0931549339	1	7168236.5911426	1456052.12007584	
AOLS	1	2006-06-13	0.65	0.65	-0.0833333333	0.1086308525	1	7048745.98129022	1433647.31822852	
CRLRF	1	2006-06-14	0.39	0.39	0.15625	0.0592863943	1	7268999.29320554	1409749.19625804	
DPDW	0.05	2006-06-15	20.2	404	0	0.2379182513	1	7268979.29320554	1453799.85864111	
MCZ	1	2006-06-16	0.38	0.38	-0.0263157895	0.3190480247	1	7230701.50745183	1453795.85864111	
IFON	0.8335214447	2006-06-19	14.8	17.7559918754	-0.1007460496	0.0600661024	1	7084988.58489135	1446140.30149037	
TBUFF	1	2006-06-20	0.92	0.92	0	0.0475517362	1	7084968.58489135	1416997.71697827	
IFON	0.4167671894	2006-06-21	6.8	16.3160636758	-0.0019348563	0.0482121987	1	7082206.90564509	1416993.71697827	
DPDW	0.05	2006-06-22	14	280	0.0099009901	0.27469908	1	7096211.07773548	1416441.38112902	
SORL	1	2006-06-23	6.12	6.12	0	0.0558148711	1	7096191.07773548	1419242.2155471	
JVA	1.1232492997	2006-06-26	4.15	3.694638404	0.0517425779	0.0621953914	1	7169606.12167472	1419238.2155471	
DPDW	0.05	2006-06-27	20.4	408	0	0.1444408575	1	7169586.12167472	1433921.22433494	
DYSL	1	2006-06-28	0.75	0.75	0	0.2156156884	1	7169566.12167472	1433917.22433494	
SNGX	0.05	2006-06-29	0.25	5	0	0.089286128	1	7169546.12167472	1433913.22433494	
VSCI	1	2006-06-30	1.71	1.71	-0.05	0.1062289493	1	7097830.66045797	1433909.22433494	
MSTX	0.04	2006-07-03	3.5	87.5	0.0597484277	0.1258949464	1	7182627.50482823	1419566.13209159	
DPDW	0.05	2006-07-05	21	420	0.2053571429	0.05426004	1	7477608.27734796	1436525.50096565	
VSCI	1	2006-07-06	1.68	1.68	0	0.1128738259	1	7477588.27734796	1495521.65546959	
ISIG	1.3842105263	2006-07-07	3.05	2.2034220532	-0.1545005192	0.0731742669	1	7246510.02315618	1495517.65546959	
UPI	1	2006-07-10	3.78	3.78	-0.11	0.069866199	1	7087066.80264674	1449302.00463124	
DPDW	0.05	2006-07-11	32	640	-0.0430107527	0.1212863615	1	7026082.7871401	1417413.36052935	
DPDW	0.05	2006-07-12	18.6	372	0	0.3002310325	1	7026062.7871401	1405216.55742802	
APGI	1	2006-07-13	0.31	0.31	-0.225	0.0710795821	1	6709869.9617188	1405212.55742802	
PNTR	1	2006-07-14	7.35	7.35	-0.0395894428	0.0872812339	1	6656721.95908935	1341973.99234376	
EDAP	1	2006-07-17	8.5	8.5	0.0356321839	0.0818454354	1	6704140.66730355	1331344.39181787	
DPDW	0.05	2006-07-18	17.88	357.6	0.1176470588	0.0678772057	1	6861865.15359305	1340828.13346071	
SEED	1	2006-07-19	9.68	9.68	0.0436046512	0.0451511488	1	6921687.00086275	1372373.03071861	
EDAP	1	2006-07-20	9.6	9.6	0.0087040619	0.0583989777	1	6933716.35927818	1384337.40017255	
AIRI	0.0026711406	2006-07-21	340	127286.45	0	0.0772184784	1	6933696.35927818	1386743.27185564	
DPDW	0.05	2006-07-24	14.72	294.4	0	0.0752129556	1	6933676.35927818	1386739.27185564	
APGI	1	2006-07-25	0.31	0.31	0	0.0598812405	1	6933656.35927818	1386735.27185564	
IEC	1	2006-07-26	0.94	0.94	-0.0458715596	0.1387067549	1	6870024.83304627	1386731.27185564	
AOLS	1	2006-07-27	0.51	0.51	-0.1884057971	0.0973998129	1	6611134.33209091	1374004.96660925	
ONVI	1	2006-07-28	5.34	5.34	-0.014953271	0.0487044302	1	6591342.7153968	1322226.86641818	
CBMX	0.01	2006-07-31	1.28	128	-0.0555555556	0.0842573261	1	6518085.57411461	1318268.54307936	
STLY	1.0707070707	2006-08-01	22.56	21.0701886792	-0.0071678202	0.0272802583	1	6508721.48105781	1303617.11482292	
CPAH	0.2	2006-08-02	1.65	8.25	0.0256410256	0.220127999	1	6542079.53993503	1301744.29621156	
DPDW	0.05	2006-08-03	12	240	0.0714285714	0.1133282704	1	6635517.81907696	1308415.90798701	
CPAH	0.2	2006-08-04	2	10	0.0833333333	0.0420479779	1	6746089.78272825	1327103.56381539	
CPAH	0.2	2006-08-07	1.8	9	-0.0769230769	0.1300546063	1	6642283.78607089	1349217.95654565	
XPLR	0.0025	2006-08-08	208	83200	-0.12	0.2323664222	1	6482848.97520519	1328456.75721418	
IMH	0.1077870656	2006-08-09	11.04	102.4241632653	0.0020833727	420.6984427578	1	6485530.21327658	1296569.79504104	
IEC	1	2006-08-11	1.13	1.13	0.0099009901	0.0661802644	1	6498352.84736228	1297106.04265532	
EDAP	1	2006-08-14	7.66	7.66	0.0587431694	0.1656759073	1	6574679.61578757	1299670.56947246	
NHLD	1	2006-08-15	1.2	1.2	0.2272727273	0.0949980336	1	6873508.68923246	1314935.92315752	
RELV	1.147515528	2006-08-16	7.36	6.4138565629	-0.0164078437	0.0322368403	1	6850932.79800744	1374701.73784649	
ALYE	0.2	2006-08-17	0.35	1.75	0	0.09160173	1	6850912.79800744	1370186.55960149	
ADMP	0.0588235294	2006-08-18	0.16	2.72	0.3529411765	0.1051476606	1	7334486.64257267	1370182.55960149	
CLSN	0.2220508867	2006-08-21	3	13.5104166667	0.0831861888	0.0772248692	1	7456492.24068559	1466897.32851453	
CHCI	1	2006-08-22	4.4	4.4	-0.0511111111	0.0616897423	1	7380250.32000302	1491298.44813712	
ADMP	0.0588235294	2006-08-23	0.19	3.23	-0.36	0.0922242944	1	6848852.2969628	1476050.0640006	
ASTC	0.1	2006-08-24	0.8	8	0.038961039	0.0432301929	1	6902199.97719888	1369770.45939256	
CRLRF	1	2006-08-25	0.24	0.24	0	0.1310887733	1	6902179.97719888	1380439.99543978	
CLSN	0.2220630372	2006-08-28	3.05	13.7348387097	-0.035210818	0.0911791532	1	6853553.69663883	1380435.99543978	
ADMP	0.0588235294	2006-08-29	0.12	2.04	0.4285714286	0.3709382566	1	7440981.15635073	1370710.73932777	
AIRI	0.0026711406	2006-08-30	240	89849.256	1.76662742212841E-008	0.1002274573	1	7440961.18264161	1488196.23127015	
ASTC	0.1	2006-08-31	0.85	8.5	0.0674157303	0.1199429318	1	7541268.74914914	1488192.23652832	
ADMP	0.0588235294	2006-09-01	0.09	1.53	-0.1	0.1528710201	1	7390423.37416616	1508253.74982983	
CRLRF	1	2006-09-05	0.26	0.26	0	0.2027200338	1	7390403.37416616	1478084.67483323	
AIRI	0.0026711407	2006-09-06	168	62894.4778378378	-0.0714285887	0.1449314371	1	7284806.15764727	1478080.67483323	
AIRI	0.0026711403	2006-09-07	168	62894.4866666667	0.1282051111	0.0918565277	1	7471576.0341783	1456961.23152945	
AIRI	0.0026711404	2006-09-08	156	58402.02225	-0.068181804	0.0426744213	1	7369670.92757233	1494315.20683566	
DARA	0.0003125	2006-09-12	1.34	4288	0.1836798215	0.0890931164	1	7640382.895704	1473934.18551447	
VGZ	1	2006-09-13	9.95	9.95	-0.1336633663	0.0404151196	1	7436115.03611587	1528076.5791408	
XPLR	0.0025	2006-09-14	140	56000	0.09375	162.4168499794	1	7575522.19304305	1487223.00722318	
AIRI	0.0026711405	2006-09-15	144	53909.556	0.0606058762	0.1883560089	1	7667326.42506632	1515104.43860861	
ERB	1	2006-09-18	1.68	1.68	-0.0853658537	0.236309457	1	7536400.85195543	1533465.28501326	
AUXO	1	2006-09-19	0.5	0.5	0.02	0.0348636481	1	7566526.45536325	1507280.17039109	
GROW	2.4472096531	2006-09-20	32.6	13.3212942989	-0.0795673879	0.2683577106	1	7446096.70625122	1513305.29107265	
AXN	0.5	2006-09-21	4	8	0	0.0842072055	1	7446076.70625122	1489219.34125024	
NSFDF	1	2006-09-25	0.9	0.9	0	0.0863644827	1	7446056.70625122	1489215.34125024	
GLOW	0.25	2006-09-27	0.38	1.52	0	0.1546096862	1	7446036.70625122	1489211.34125024	
DPDW	0.05	2006-09-28	2.2	44	0.2272727273	0.7555049135	1	7784472.92017173	1489207.34125024	
DPDW	0.05	2006-09-29	2.2	44	-0.3703703704	0.1536804663	1	7207825.29645531	1556894.58403435	
AXGN	1.1904761905	2006-10-02	0.25	0.21	0	0.0795161693	1	7207805.29645531	1441565.05929106	
DPDW	0.05	2006-10-03	1.7	34	-0.1123613065	0.630235029	1	7045809.61249996	1441561.05929106	
DPDW	0.0499296765	2006-10-04	1.8	36.0507042254	-0.125	0.2310638141	1	6869644.37218746	1409161.92249999	
URRE	0.1	2006-10-05	2.62	26.2	-0.0253968254	0.1078946079	1	6834730.94045571	1373928.87443749	
DPDW	0.05	2006-10-06	1.4	28	0	0.0923934937	1	6834710.94045571	1366946.18809114	
LWLG	1	2006-10-09	0.53	0.53	0.3492063492	0.1322626468	1	7312035.83153516	1366942.18809114	
PPRO	0.125	2006-10-10	1.85	14.8	-0.05	0.0772042328	1	7238895.47321981	1462407.16630703	
AXN	0.5	2006-10-11	4	8	0.125	0.027797257	1	7419847.8600503	1447779.09464396	
ASTI	1	2006-10-12	2.7	2.7	0.1625	0.0427898979	1	7660972.91550194	1483969.57201006	
DEJ	1	2006-10-13	1.2	1.2	0.0434782609	0.033419117	1	7727570.07128891	1532194.58310039	
GIG	0.125	2006-10-16	1.6	12.8	-0.1222570533	0.1011029246	1	7538600.08208498	1545514.01425778	
CMXI	1	2006-10-17	1.45	1.45	-0.0763888889	0.4795222027	1	7423407.02527535	1507720.016417	
CMXI	1	2006-10-18	1.44	1.44	-0.037593985	0.0661901843	1	7367571.93485975	1484681.40505507	
CMXI	1	2006-10-19	1.33	1.33	-0.015625	0.0722363282	1	7344528.27256331	1473514.38697195	
GIG	0.125	2006-10-20	7.17	57.36	0.1103253182	0.1913687756	1	7506565.75637093	1468905.65451266	
ABCP	2.8947368421	2006-10-23	0.48	0.1658181818	-0.0576923077	0.0655204031	1	7419931.53610511	1501313.15127419	
GIG	0.125	2006-10-24	7.85	62.8	-0.1137254902	0.0520988941	1	7251144.46587213	1483986.30722102	
GIG	0.125	2006-10-25	7.65	61.2	-0.0884955752	0.0564495677	1	7122785.6257682	1450228.89317443	
STEM	0.1	2006-10-26	2.74	27.4	0.0942028986	0.0663769619	1	7256963.03610876	1424557.12515364	
MVIS	0.125	2006-10-27	2.01	16.08	-0.0523809524	0.100705778	1	7180917.70906381	1451392.60722175	
DPDW	0.05	2006-10-30	1.4	28	0	0.0530809986	1	7180897.70906381	1436183.54181276	
ALYE	0.2021276596	2006-10-31	0.38	1.88	0	0.0839466282	1	7180877.70906381	1436179.54181276	
NHTC	1	2006-11-01	1.5	1.5	-0.1130434783	0.0772481965	1	7018507.43042411	1436175.54181276	
CMXI	1	2006-11-02	1.06	1.06	-0.0094339623	0.0893426767	1	7005244.96357425	1403701.48608482	
DDXS	1	2006-11-03	2.49	2.49	0.1206896552	0.201163384	1	7174317.08338466	1401048.99271485	
INTT	1.0342105263	2006-11-06	4.05	3.9160305344	0.0173789193	0.0733294967	1	7199233.45890899	1434863.41667693	
DPDW	0.05	2006-11-07	1	20	0	0.070284217	1	7199213.45890899	1439846.6917818	
DDXS	1	2006-11-08	1.77	1.77	-0.0568181818	0.1471772857	1	7117384.21505775	1439842.6917818	
CPAH	0.2	2006-11-09	1.7	8.5	0.1935483871	0.0674868998	1	7392875.86209224	1423476.84301155	
CPAH	0.2	2006-11-10	1.55	7.75	-0.027027027	0.0825919462	1	7352894.3709458	1478575.17241845	
IFON	0.4166666667	2006-11-13	4.2	10.08	-0.0218746682	0.0588033966	1	7320705.94608304	1470578.87418916	
LRAD	1	2006-11-14	5.01	5.01	0.0019417476	0.1018264895	1	7323528.93868346	1464141.18921661	
DDXS	1	2006-11-15	1.68	1.68	-0.1494845361	0.0872337857	1	7104558.07350632	1464705.78773669	
HIPP	1	2006-11-16	0.84	0.84	0.1111111111	0.09690607	1	7262417.14180646	1420911.61470126	
SMED	1	2006-11-17	1	1	0.05	0.0769327317	1	7335021.31322453	1452483.42836129	
ADMP	0.0588235294	2006-11-20	0.07	1.19	-0.1428571429	0.0690107382	1	7125429.27570383	1467004.26264491	
TGC	1	2006-11-21	0.77	0.77	-0.0348837209	0.090700592	1	7075696.97843147	1425085.85514077	
ECTE	0.1	2006-11-22	0.99	9.9	0.0178571429	0.0731669603	1	7100947.32478302	1415139.3956863	
ECTE	0.1	2006-11-24	0.56	5.6	-0.0701754386	0.2825813997	1	7001264.90618957	1420189.4649566	
ALYE	1	2006-11-27	0.38	0.38	0	0.1304254043	1	7001244.90618957	1400252.98123791	
ADXS	0.0078630897	2006-11-28	0.17	21.62	0.0935	0.1426869449	1	7132148.18593532	1400248.98123791	
PNTR	1	2006-11-30	16.22	16.22	-0.0575585073	0.1567340789	1	7050025.02528761	1426429.63718706	
PNTR	1	2006-12-05	14.44	14.44	-0.0157750343	0.1996836909	1	7027762.14797875	1410005.00505752	
VASO	1	2006-12-06	0.07	0.07	0.2	0.2564012496	1	7308852.6338979	1405552.42959575	
ALYE	1	2006-12-07	0.4	0.4	0	1.5485445979	1	7308832.6338979	1461770.52677958	
AMNL	1	2006-12-08	1.51	1.51	-0.0194805195	0.1336902281	1	7280336.66259699	1461766.52677958	
ALYE	1	2006-12-11	0.4	0.4	0	0.1483133085	1	7280316.66259699	1456067.3325194	
ABIO	0.0083367389	2006-12-12	4.16	498.9960784314	-0.034098319	0.2359123863	1	7230647.35055268	1456063.3325194	
WFCF	1	2006-12-13	0.47	0.47	-0.2	0.0872501224	1	6941401.45653057	1446129.47011054	
ECTE	0.1	2006-12-14	0.48	4.8	0.025	0.1118449345	1	6976088.46381323	1388280.29130611	
DSNY	1	2006-12-15	0.41	0.41	0.027027027	0.0730221404	1	7013777.05010411	1395217.69276265	
ABIO	0.0083366006	2006-12-18	4.17	500.2038861386	-0.0198530867	0.1602107696	1	6985908.02529026	1402755.41002082	
TTNP	1	2006-12-19	3.25	3.25	-0.0519877676	0.2131035859	1	6913251.67273372	1397181.60505805	
ABIO	0.0083366666	2006-12-20	3.95	473.810479798	0.0050860051	1.3143558579	1	6920263.83941077	1382650.33454674	
DPDW	0.05	2006-12-21	14	280	0.1764705882	0.3505346911	1	7164488.44550762	1384052.76788215	
AEY	1	2006-12-22	2.99	2.99	-0.0675675676	0.2072840882	1	7067651.03408184	1432897.68910152	
ALYE	1	2006-12-26	0.4	0.4	0	0.296276058	1	7067631.03408184	1413530.20681637	
DPDW	0.05	2006-12-29	4.6	92	-0.204	0.7230021535	1	6779251.6878913	1413526.20681637	
WFCF	1	2007-01-04	0.36	0.36	0	0.0940956006	1	6779231.6878913	1355850.33757826	
DPDW	0.05	2007-01-05	4.6	92	-0.3045897079	0.2226482766	1	6366234.84793353	1355846.33757826	
DPDW	0.05	2007-01-08	7.19	143.8	0	0.2050927357	1	6366214.84793353	1273246.96958671	
ECTE	0.1	2007-01-09	0.25	2.5	0	0.1249425895	1	6366194.84793353	1273242.96958671	
PED	0.0030625113	2007-01-10	0.15	48.9794117647	0	0.0770231039	1	6366174.84793353	1273238.96958671	
DRL	0.0025	2007-01-12	2.57	1028	-0.0192307692	0.1124339784	1	6341669.56005686	1273234.96958671	
LWLG	1	2007-01-16	0.56	0.56	-0.0892857143	0.178756573	1	6228405.46077013	1268333.91201137	
PED	0.0029726516	2007-01-17	0.14	47.096	-0.3193641618	0.1672658069	1	5830559.56284233	1245681.09215403	
PED	0.0028901734	2007-01-18	0.1	34.6	0.8999575372	0.1342152668	1	6879990.76772454	1166111.91256847	
ADMP	0.0588235294	2007-01-19	0.05	0.85	-0.1666666667	0.0636580617	1	6650637.74213372	1375998.15354491	
CYDY	1	2007-01-22	0.57	0.57	-0.2285714286	0.3817644513	1	6346588.58820761	1330127.54842674	
CYDY	1	2007-01-23	0.7	0.7	0.2962962963	0.2152238251	1	6722662.72676806	1269317.71764152	
ALYE	1	2007-01-24	0.5	0.5	0	0.2792812656	1	6722642.72676806	1344532.54535361	
CYDY	1	2007-01-26	0.7	0.7	0	0.1640751911	1	6722622.72676806	1344528.54535361	
PURE	0.125	2007-01-30	2.18	17.44	-0.0170940171	0.1035555934	1	6699619.40120646	1344524.54535361	
ALYE	1	2007-01-31	0.5	0.5	0	0.108400939	1	6699599.40120646	1339923.88024129	
NHLD	1	2007-02-01	1.4	1.4	0	0.0540634529	1	6699579.40120646	1339919.88024129	
DPDW	0.05	2007-02-05	6.6	132	-0.0588235294	0.6659816003	1	6620740.82001579	1339915.88024129	
GSI	1	2007-02-06	2.41	2.41	-0.075862069	0.2346029846	1	6520268.20067762	1324148.16400316	
CBRX	0.125	2007-02-07	1.52	12.16	0.0067114094	0.4560735142	1	6529000.23853088	1304053.64013552	
NHLD	1	2007-02-08	1.42	1.42	0	0.0600622988	1	6528980.23853088	1305800.04770618	
CBRX	0.125	2007-02-09	1.5	12	0	0.0514272474	1	6528960.23853088	1305796.04770618	
CBRX	0.125	2007-02-12	1.41	11.28	-0.0070921986	0.1850159452	1	6519679.30202233	1305792.04770618	
CYDY	1	2007-02-13	0.65	0.65	0	0.0884037611	1	6519659.30202233	1303935.86040447	
ADMP	0.0588235294	2007-02-14	0.05	0.85	-0.1666666667	0.0935827636	1	6302317.32528825	1303931.86040447	
ALYE	1	2007-02-15	1	1	0.1818181818	0.0487145389	1	6531472.50075328	1260463.46505765	
AXN	0.5	2007-02-16	3	6	-0.0166666667	0.2839151398	1	6509680.92575077	1306294.50015066	
GSI	1	2007-02-20	3.2	3.2	0.1063829787	0.0906238476	1	6648164.77523483	1301936.18515015	
GSI	1	2007-02-22	5.2	5.2	-0.012605042	0.0777284046	1	6631384.69596953	1329632.95504697	
AXN	0.5	2007-02-23	3	6	-0.2	0.092539897	1	6366109.30813075	1326276.93919391	
AXN	0.5	2007-02-26	3	6	0	0.1721942373	1	6366089.30813075	1273221.86162615	
AXN	0.5	2007-02-27	2.4	4.8	0.25	0.7674196592	1	6684373.77353728	1273217.86162615	
CEMI	0.125	2007-02-28	0.7	5.6	0.0579710145	0.0605283917	1	6761853.75931743	1336874.75470746	
XPLR	0.0025	2007-03-01	140	56000	0.0810810811	0.120040513	1	6871485.44190095	1352370.75186349	
DARA	0.0003150207	2007-03-02	0.42	1333.2457894737	0.052629757	0.1087303779	1	6943794.36367289	1374297.08838019	
DPDW	0.05	2007-03-05	4.6	92	-0.12	0.0632567837	1	6777123.29894474	1388758.87273458	
DARA	0.0003150197	2007-03-06	0.4	1269.7619047619	-0.0681818182	0.1279602839	1	6684687.98123186	1355424.65978895	
WFCF	1	2007-03-07	0.2	0.2	0.1363636364	0.0820788039	1	6866977.65344727	1336937.59624637	
PED	0.0029723992	2007-03-08	0.25	84.1071428571	-0.0869565217	0.1933567405	1	6747531.95512645	1373395.53068945	
CYDY	1	2007-03-09	0.6	0.6	0	0.1209917672	1	6747511.95512645	1349506.39102529	
EMAN	1.0322580645	2007-03-12	0.35	0.3390625	-0.0329282459	0.0849649801	1	6703055.20853608	1349502.39102529	
DARA	0.0003150191	2007-03-13	0.38	1206.2758974359	-0.0476190476	0.0740233645	1	6639196.5875024	1340611.04170722	
DRL	0.0025	2007-03-14	1.53	612	0.4876033058	0.0843492921	1	7286635.4282671	1327839.31750048	
CRLRF	1	2007-03-15	0.37	0.37	0	0.2133173967	1	7286615.4282671	1457327.08565342	
DRL	0.0025	2007-03-16	1.8	720	-0.1304347826	0.0569257528	1	7096509.80839926	1457323.08565342	
GENE	1	2007-03-19	5.54	5.54	0	0.1271135545	1	7096489.80839926	1419301.96167985	
CYDY	1	2007-03-20	0.85	0.85	0	0.1804533303	1	7096469.80839926	1419297.96167985	
BVSN	0.04	2007-03-21	4.16	104	-0.2523584906	0.0683934281	1	6738278.92656024	1419293.96167985	
AXN	0.5	2007-03-26	4	8	0	0.054762781	1	6738258.92656024	1347655.78531205	
XPLR	0.0025	2007-03-22	124	49600	0.0461538462	0.0259604365	1	6800438.23972849	1347651.78531205	
CBLI	1	2007-03-27	9	9	-0.0195865071	0.0485915694	1	6773778.87339223	1360087.6479457	
PED	0.0029724656	2007-03-28	0.16	53.8273684211	-0.1	0.0611222102	1	6638283.29592439	1354755.77467845	
EMAN	1.03125	2007-03-29	0.5	0.4848484848	-0.0062953995	0.0837840373	1	6629905.16683509	1327656.65918488	
GENE	1	2007-03-30	4.55	4.55	-0.1204819277	0.0717792772	1	6470128.41582701	1325981.03336702	
DPDW	0.05	2007-04-02	7.4	148	0.0909090909	0.0448245078	1	6587747.1142966	1294025.6831654	
AXN	0.5	2007-04-03	4	8	0.1396011396	0.0400021758	1	6771658.51520858	1317549.42285932	
EGI	1	2007-04-04	1.76	1.76	-0.0104712042	0.0967534518	1	6757457.0314071	1354331.70304172	
EMAN	1.0317460317	2007-04-05	0.62	0.6009230769	0.0955138789	0.0809722193	1	6886523.21791169	1351491.40628142	
ILIU	1	2007-04-09	3	3	-0.08203125	0.068238447	1	6773521.19636783	1377304.64358234	
IMUC	1	2007-04-12	2.7	2.7	0	0.1208239861	1	6773501.19636783	1354704.23927357	
EMAN	1.0263157895	2007-04-13	0.85	0.8282051282	-0.1109803082	0.0381025664	1	6623136.14626865	1354700.23927357	
BSQR	1	2007-04-16	5.23	5.23	-0.0115163148	0.0294596865	1	6607861.32213137	1324627.22925373	
